Arbitrage pair: ['ETHUSDT', 'BNTETH', 'BNTUSDT'], Profit: 0.38 USDT, Проміжні суми: BNTETH: 0.174237, BNTUSDT: 804.418281, Популярність: 28214.5
Arbitrage pair: ['BTCUSDT', 'BNBBTC', 'BNBUSDT'], Profit: 0.06 USDT, Проміжні суми: BNBBTC: 0.006775, BNBUSDT: 0.835568, Популярність: 172315.708 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'BNBBTC', 'BNBUSDT'], Profit: 0.06 USDT, Проміжні суми: BNBBTC: 0.006775, BNBUSDT: 0.835568, Популярність: 172319.928 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'BNBBTC', 'BNBUSDT'], Profit: 0.06 USDT, Проміжні суми: BNBBTC: 0.006775, BNBUSDT: 0.835568, Популярність: 172324.703 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'BNBBTC', 'BNBUSDT'], Profit: 0.08 USDT, Проміжні суми: BNBBTC: 0.006768, BNBUSDT: 0.831841, Популярність: 172459.655 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'BNBBTC', 'BNBUSDT'], Profit: 0.06 USDT, Проміжні суми: BNBBTC: 0.006768, BNBUSDT: 0.831814, Популярність: 172466.124 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'BNBBTC', 'BNBUSDT'], Profit: 0.04 USDT, Проміжні суми: BNBBTC: 0.006767, BNBUSDT: 0.831790, Популярність: 172467.957 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'BNBETH', 'BNBUSDT'], Profit: 0.16 USDT, Проміжні суми: BNBETH: 0.174933, BNBUSDT: 0.831824, Популярність: 52161.537 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'ETHBTC', 'ETHUSDT'], Profit: 0.02 USDT, Проміжні суми: ETHBTC: 0.006767, ETHUSDT: 0.174905, Популярність: 65787.1958 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'BNBBTC', 'BNBUSDT'], Profit: 0.04 USDT, Проміжні суми: BNBBTC: 0.006767, BNBUSDT: 0.832053, Популярність: 172516.776 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'ETHBTC', 'ETHUSDT'], Profit: 0.02 USDT, Проміжні суми: ETHBTC: 0.006767, ETHUSDT: 0.174905, Популярність: 65788.3838 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'EOSETH', 'EOSUSDT'], Profit: 0.08 USDT, Проміжні суми: EOSETH: 0.174866, EOSUSDT: 470.703124, Популярність: 1217161.2 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'EOSETH', 'EOSUSDT'], Profit: 0.05 USDT, Проміжні суми: EOSETH: 0.174857, EOSUSDT: 470.679041, Популярність: 1217161.2 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'BNBETH', 'BNBUSDT'], Profit: 0.17 USDT, Проміжні суми: BNBETH: 0.174857, BNBUSDT: 0.831859, Популярність: 52167.126 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'BNBETH', 'BNBUSDT'], Profit: 0.17 USDT, Проміжні суми: BNBETH: 0.174857, BNBUSDT: 0.831859, Популярність: 52170.998 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'ADXETH', 'ADXUSDT'], Profit: 0.18 USDT, Проміжні суми: ADXETH: 0.174968, ADXUSDT: 2762.797808, Популярність: 4008539.0 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'ADXBTC', 'ADXUSDT'], Profit: 0.05 USDT, Проміжні суми: ADXBTC: 0.006767, ADXUSDT: 2762.222096, Популярність: 4262419.0 (практично гарантовано)
Arbitrage pair: ['ETHUSDT', 'ADXETH', 'ADXUSDT'], Profit: 0.09 USDT, Проміжні суми: ADXETH: 0.174942, ADXUSDT: 2762.388427, Популярність: 4008539.0 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'NEOBTC', 'NEOUSDT'], Profit: 0.03 USDT, Проміжні суми: NEOBTC: 0.006767, NEOUSDT: 28.197217, Популярність: 494097.43 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'NEOBTC', 'NEOUSDT'], Profit: 0.21 USDT, Проміжні суми: NEOBTC: 0.006769, NEOUSDT: 28.217219, Популярність: 494074.74 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'BNBBTC', 'BNBUSDT'], Profit: 0.09 USDT, Проміжні суми: BNBBTC: 0.006769, BNBUSDT: 0.831917, Популярність: 172635.604 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'NEOBTC', 'NEOUSDT'], Profit: 0.21 USDT, Проміжні суми: NEOBTC: 0.006769, NEOUSDT: 28.217216, Популярність: 494074.74 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'BNBBTC', 'BNBUSDT'], Profit: 0.09 USDT, Проміжні суми: BNBBTC: 0.006769, BNBUSDT: 0.831917, Популярність: 172636.084 (практично гарантовано)
Arbitrage pair: ['BTCUSDT', 'NEOBTC', 'NEOUSDT'], Profit: 0.22 USDT, Проміжні суми: NEOBTC: 0.006769, NEOUSDT: 28.217675, Популярність: 494025.34 (практично гарантовано)
